topic_id,topic_text,generated_conclusion,opinion_count,claim_count,evidence_count,counterclaim_count,rebuttal_count,avg_confidence
007ACE74B050,"On my perspective, I think that the face is a natural landform because I dont think that there is any life on Mars. In these next few paragraphs, I'll be talking about how I think that is is a natural landform ","I think that the face is a natural landform because there is no life on Mars that we have descovered yet. If life was on Mars, we would know by now. I think they were not satisfied because they have thought since 1976 that it was really formed by alieans.",6,0.0,0.0,0.0,0.0,0.6492300866666666
00944C693682,"With so many things in this world that few people agree on, this is a nice change to see in regards the removal of so many cars. Why would they all agree, one might ask. Well, there are plenty of reasons. 
",Cars are responsible for 12 percent of greenhouse gas emissions in Europe and up to 50 percent in some car-intensive areas in the U.S. Car-pooling could significantly reduce emissions as there would be less cars out there. Air pollution can affect those with pre-existing respitory issues.,7,0.0,0.0,0.0,0.0,0.6815259528571429
00BD97EA4041,"No because, why should a computer know how your feeling? ",The process begins when the computer puts together a 3-D digital model. There are 44 major muscles in your face that the computer has to detect. Da Vinci studied human anatomy to help paint the facial muscles percisely on the Mona Lisa painting.,4,0.0,0.0,0.0,0.0,0.6639663
00C6E82FE5BA,I think that it wouldn't be valueable to have technology be able to read emotions ,"Electonic ability to read people's emotions is cool and all, and its a huge next step into newer tecnology for the future. But the fact that you know say you needed to be happy to get into your phone, some one else can act happy and, well unlock your phone.",4,0.0,0.0,0.0,0.0,0.7188158849999999
013B9AA6B9DB,"Well, some people believe that it was something made by aliens. I am here to prove that it was not. 
","The ""Face"" is a rock formation that resembles a human face. Some believe that it is real evidence that there is life on Mars. In 1998, the Mars Global Surveyor flew over the ""Face."" The new cameras snapped a photograph that was ten times sharper than the original.",8,0.0,0.0,0.0,0.0,0.7600561575
0158970BC5D2,summer projects should be teacher-designed ,No sufficient data for conclusion,0,,,,,
015BB7DA58EE,In the following paragraphs they will talk about if we should or should not read students faces to make the classroom experience more enjoyable. ,Technology has decoded the Mona Lisa smile. The program has determend that the paintings famous smile is mostly happy. If we start doing eveything on computers like all of our lessons for example we will probably need this to keep us from not falling asleep during the class.,6,0.0,0.0,0.0,0.0,0.5749212699999999
0167BBA84E43,"In conclusion the ""face'' to me is still just a land form. ","The photo isn't clearly shown as a face it just looks like a planets land form. NASA on the other hand and says there is likelyness of a human face. They also believe it is an alien artifac. According to the picture they say because of the shadows it portraies eyes, nose and mouth.",4,0.0,0.0,0.0,0.0,0.7107029575
0168325D0E24,"There are many sides to people giving up their cars. Some people are truly happy and some are not. It may not be that bad, i mean how did people manige before cars were even invented ","Paris has enforced a driving ban to help clear the air of pollution. In Vauban, Germany there is a place where if you want to go there you have to give up your car. The need for cars in the U.S. has gone down dramadically.",7,0.0,0.0,0.0,0.0,0.6156862200000001
01AFC67DF935,"Limiting our usage of any type of motorized vehicle, would not only decrease air pollution but it would also help with adults or children that may not exercise enough.  ","Walking, jogging, or riding a bicycle isnt must safer than riding in a vehicle. A stranger may walk up out of nowhere, beat you up, and could hurt you very badly. Owning a car could put someone in debt. Falling behind on payments could be devastating to you and your family.",5,0.0,0.0,0.0,0.0,0.5907681300000001
01B52B1D14F8,"So, no I don't think it's classroom valuable to use FACS. ",The FACS is a new technology that can analyze a person's face. The technology can be used in classrooms to teach students about how advanced the humans have become. This reminds me of disecting frogs in biology. Some students think it's useful for your education while some other students say it's a waste of time.,8,0.0,0.0,0.0,0.0,0.64235014
01F69867D1BE,To improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project. ,Teachers could allow there students to choose a topic or unit to base there project on. Students could learn and still enjoy working on the project. Students also have an easier time working on topics that they have knowledge on. This would allow the student to get a head start on future units and topics.,4,0.0,0.0,0.0,0.0,0.613334535
021663FD2F2E,this new technology is valuable. ,"The Mona lisa demonstration really intended to bring a smile to your face. For example, if you smile as soon as a web ad appears on the screen another ad will follow. Another thing a classroom computer can know when students are becoming to be confused or bored.",2,0.0,0.0,0.0,0.0,0.81984669
022EE73C4244,"If teachers gave students the opportunity to discover their own work, and maybe even a passion, students work would be of a higher quality and it might actually have them excited to go back to school. ","Teachers could make an effort to make the one assignment that no one wants to do over the summer, interesting. When students have the ability to decide what they will study in a project, they are more excited and more willing to get the work done. Having students choose their project will save both the teachers and students from the painful force feeding of information.",7,0.0,0.0,0.0,0.0,0.6103307671428571
023CEE52C08C,"In the article ""The Challenge of Exploring Venus"", it tals about how scientest are working on new technology to overcome the chalanges of Venus and its complications. ","Venus is one of the two most similar planets to Earth. The planets surface averages about 800 degrees Fahrenheit and the atmospheric presure is 90 times greater than on Earth. Venus also has erupting valcanos, earthquakes, and frequent lightning stikes on the planets surface.",5,0.0,0.0,0.0,0.0,0.8094599939999998
